ID	Detector	miRNA_ID	SPOT_ID
153	hsa-miR-301b-4395503	hsa-miR-301b	
154	hsa-miR-302a-4378070	hsa-miR-302a	
155	ath-miR159a-4373390	ath-miR159a	
156	hsa-miR-302b-4378071	hsa-miR-302b	
157	hsa-miR-302c-4378072	hsa-miR-302c	
158	hsa-miR-320-4395388	hsa-miR-320	
159	hsa-miR-323-3p-4395338	hsa-miR-323-3p	
160	hsa-miR-324-3p-4395272	hsa-miR-324-3p	
161	hsa-miR-324-5p-4373052	hsa-miR-324-5p	
162	hsa-miR-326-4373050	hsa-miR-326	
163	hsa-miR-328-4373049	hsa-miR-328	
